class5,seg_quad_4agpot-lo / mkt-lo,seg_quad_4agpot-lo / mkt-hi,seg_quad_4agpot-hi / mkt-lo,seg_quad_4agpot-hi / mkt-hi,se.seg_quad_4agpot-lo / mkt-lo,se.seg_quad_4agpot-lo / mkt-hi,se.seg_quad_4agpot-hi / mkt-lo,se.seg_quad_4agpot-hi / mkt-hi
subs.,0.0195739906044272,0.0261932742840891,0.0256950985518079,0.928537636559676,0.00979342698188927,0.0120681869183087,0.0104923430796619,0.0183876141434855
trans.,0.00913930284298175,0.102954036645326,0.0252231674094536,0.862683493102239,0.00301284265806231,0.0214424280343739,0.00603053020031861,0.0220140656816284
pre-comm.,0.0249915057803461,0.0211142496301751,0.0399301237447891,0.91396412084469,0.010941981453363,0.00987789650920161,0.0125532136516503,0.0189420596931056
specd. comm.,0.0204733391649505,0.0117456491035856,0.0462579033918631,0.921523108339601,0.00782533508855547,0.00496346666012872,0.011245281492264,0.0144622654184782
divf. comm.,0.0117362674565959,0.0447874389843927,0.0376215722696772,0.905854721289334,0.00434084337705203,0.0205412572079919,0.0124438723697037,0.0237186732277373
